State,Mexico,Other North & Central America,Asia,Africa,South America,Europe,Other Regions,DACA Population,DACA Workers,GDP Loss,GDP Gain Education
Alabama,7337,739,448,85,252,104,67,4270,3715,182030100,348902000
Alaska,304,30,81,,105,51,4,138,120,8572284,
Arizona,66301,2331,1037,16,420,563,394,27865,24243,1322494899,1950022000
Arkansas,7746,986,222,6,58,15,138,5099,4436,236028211,455692000
California,437662,51454,37033,264,7597,3820,2208,222795,193832,11620786775,20323660000
Colorado,29633,1569,1068,30,450,445,256,17258,15014,856946796,1460998000
Connecticut,2159,2769,1034,37,3748,959,259,4929,4288,315289496,777206000
Delaware,1801,347,203,37,186,28,215,1444,1256,88119069,151212000
District of Columbia,387,1041,70,400,47,61,105,764,665,48219513,113918000
Florida,31879,38240,2834,103,30527,2259,742,32795,28532,1525721538,4122572000
Georgia,35723,7215,3054,274,3711,848,906,24135,20997,1025191287,2394897000
Hawaii,308,114,2617,0,82,69,425,558,485,28844415,225347000
Idaho,5907,212,88,4,113,99,53,3132,2725,159526996,232009000
Illinois,71619,2604,3958,147,1839,2547,521,42376,36867,2296685031,4014693000
Indiana,11625,1102,737,74,346,255,190,9840,8561,516409548,575409000
Iowa,4606,608,359,13,101,193,154,2798,2434,188481274,299124000
Kansas,9547,842,365,29,164,39,129,6803,5919,335913999,477741000
Kentucky,3379,790,324,18,127,291,179,3062,2664,155574096,333631000
Louisiana,2843,1741,386,10,499,109,68,2049,1783,91007953,281909000
Maine,15,81,88,,3,116,268,95,83,3967200,
Maryland,3811,10462,2712,555,2416,502,1468,9785,8513,509446852,1680870000
Massachusetts,1163,7589,2490,247,6249,1087,947,7934,6903,606598730,844643000
Michigan,9660,1429,2105,97,298,940,471,6430,5594,418625150,657453000
Minnesota,7347,756,1322,116,557,496,1052,6255,5442,376707375,551785000
Mississippi,2128,374,227,4,78,46,32,1460,1270,62337508,121459000
Missouri,5565,971,662,22,336,460,367,3524,3066,209005419,238806000
Montana,44,19,16,,21,8,0,72,63,3507840,
Nebraska,5208,712,257,6,74,38,322,3371,2933,150222997,247414000
Nevada,24869,3044,1753,77,569,235,104,13070,11371,603921133,1389845000
New Hampshire,258,183,102,14,346,146,97,367,319,26873575,14917000
New Jersey,14539,12142,6245,271,12851,1589,961,22024,19161,1587108546,2666352000
New Mexico,16286,478,86,11,80,51,7,6815,5929,384647119,504948000
New York,24167,29654,11275,679,18512,3396,1885,41970,36514,2598303273,5834246000
North Carolina,31782,6896,1508,135,1261,655,600,27385,23825,1198925683,1967108000
North Dakota,0,16,22,,0,61,127,98,85,8611260,
Ohio,4700,1618,1375,126,596,794,810,4442,3865,251609158,307498000
Oklahoma,10938,1008,334,15,380,97,281,6865,5973,343573469,752767000
Oregon,18702,1418,899,7,264,667,198,11281,9814,605603130,844259000
Pennsylvania,6275,2996,2694,178,1982,985,923,5889,123,357080795,766715000
Rhode Island,330,1969,193,46,481,147,244,1229,1069,61058661,150005000
South Carolina,7846,868,478,19,904,298,136,6406,5573,252065985,473580000
South Dakota,288,135,59,3,8,33,40,252,219,12204360,
Tennessee,9944,2499,773,38,349,246,373,8340,7256,347345511,487692000
Texas,259880,24203,6184,452,4838,1261,1767,124300,108141,6294162134,11383849000
Utah,13616,1087,296,11,1277,185,283,9711,8449,476470215,688564000
Vermont,30,135,50,,0,31,36,42,37,2429910,
Virginia,5821,9910,3846,150,3940,601,968,12134,10557,711429519,1732665000
Washington,27586,1682,2895,38,436,1713,747,17843,15523,1098330382,1875090000
West Virginia,94,211,106,,98,34,15,117,102,5445765,
Wisconsin,9667,421,995,29,389,312,138,7565,6582,427041340,581898000
Wyoming,758,23,59,0,51,5,0,621,540,39079530,75672000
